Model,Senaryo,Accuracy,Recall,F1-Score,AUC-ROC
Logistic Regression,Senaryo A,0.8703551912568306,0.9016695787225781,0.8852498614281676,0.9280333915744515
Logistic Regression,Senaryo B,0.8649085293418863,0.8957678120753252,0.8803454833549098,0.9249605807065642
Random Forest,Senaryo A,0.8583808505583275,0.8918074160357212,0.8746452370353339,0.9227148647432891
Random Forest,Senaryo B,0.8605666429080541,0.8819064259367113,0.875163781482234,0.9202637659748758
XGBoost,Senaryo A,0.8496673794250416,0.8799650553290623,0.8667215010305827,0.9171224152544379
XGBoost,Senaryo B,0.8540508434307437,0.8800232964472918,0.8700396146375926,0.9162433531731938
MLP,Senaryo A,0.8398431931575197,0.8602795573675014,0.856152268215847,0.8983758777599424
MLP,Senaryo B,0.8321988595866001,0.8543583770141719,0.8494262425408697,0.8938832620708268
Stacking Ensemble,Senaryo A,0.8692860536944643,0.9134925257231604,0.8859417051784371,0.9246570639847341
Stacking Ensemble,Senaryo B,0.8682050368258494,0.917433508056688,0.8852128985894596,0.9243642011259949
